word,jaccard,length,n_sentences,sep_max,peak_depth,combined,context,target
relief,0.15469613259668508,26.0,12,0.0026621686087714056,0.3290895061728395,0.525,0.6499999999999999,0.525
reminded,0.14285714285714285,25.166666666666668,12,0.0954903231726752,0.4782848324514991,0.6000000000000001,0.32499999999999996,0.65
rendered,0.09239130434782608,22.833333333333332,12,0.0843099157015482,0.8153108465608465,0.45,0.35,0.8
require,0.09941520467836257,21.666666666666668,12,0.0895425180594126,0.42223324514991184,0.65,0.4,0.9
return,0.14534883720930233,26.166666666666668,12,0.24746253755357525,0.3247354497354497,0.9,0.6499999999999999,1.0
revealed,0.07623318385650224,27.75,12,0.03403835495313004,0.9151234567901234,0.35,0.35,0.42500000000000004
rose,0.08421052631578947,24.666666666666668,12,0.07811794016096324,0.7843364197530864,0.4,0.4,0.475
role,0.08717948717948718,24.833333333333332,12,0.10532731480068624,0.47624559082892415,0.85,0.8,0.875
rolled,0.07627118644067797,13.333333333333334,12,0.025052977932823968,0.8822751322751323,0.25,0.4,0.475
satisfy,0.08875739644970414,21.916666666666668,12,0.007969574795828866,0.7550154320987654,0.225,0.2,0.175
sensitive,0.10194174757281553,27.333333333333332,12,0.10980577270189916,0.8491512345679012,0.775,0.9,0.75
service,0.13186813186813187,24.75,12,0.09666612082057527,0.17124118165784832,0.6,0.5,0.675
share,0.10152284263959391,26.416666666666668,12,0.31233804093466866,0.8324514991181657,0.7,0.55,0.8
significance,0.12195121951219512,29.75,12,0.06410257683859927,0.7886353615520282,0.47500000000000003,0.05,0.75
skill,0.08955223880597014,26.583333333333332,12,0.03613471984863278,0.6332671957671958,0.325,0.275,0.4
speak,0.1503267973856209,20.25,12,0.011744979355070278,0.36414241622574955,0.275,0.05,0.525
speech,0.11290322580645161,24.25,12,0.12484822339481773,0.7175925925925926,0.75,0.475,0.75
sponsored,0.12041884816753927,25.833333333333332,12,0.005023790730370378,0.23462301587301587,0.25,0.45,0.225
