group,control,words,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
decoders,quadratic,without_ever,9,0.17929612977778653,0.21379523436110592,8,1,-0.03656730937549056,0.37199156950040285,0.15520919981245948,0.20627905967194618,llama-2-7b,qwen2-7b,0.0031398653295991352,0.01171875
decoders,linear,without_expected,9,0.32324841482188105,0.31030692764724715,9,0,0.2203375626753353,0.4842416611666785,0.3031242590287813,0.3361122713401992,llama-2-7b,qwen2-7b,1.5657469495856643e-06,0.00390625
decoders,quadratic,without_expected,9,0.17925473719547272,0.2135289926862646,8,1,-0.03603517289283611,0.3718046830998252,0.15518599395742863,0.20616597595651132,llama-2-7b,qwen2-7b,0.003112344486532774,0.01171875
decoders,linear,without_face,9,0.3230433564656063,0.3104008119034131,9,0,0.21936062611881763,0.4841308119158312,0.3029074245343282,0.33600369775895483,llama-2-7b,qwen2-7b,1.5898931666507458e-06,0.00390625
decoders,quadratic,without_face,9,0.17920054293473908,0.21390742977909954,8,1,-0.03659976604870699,0.3718849111416218,0.15511499690887878,0.20617558155766985,llama-2-7b,qwen2-7b,0.0031525068495559774,0.01171875
decoders,linear,without_fell,9,0.3232771048984012,0.31108254776198996,9,0,0.21939608828493445,0.4844184648710596,0.3031344349018189,0.33626223197508454,llama-2-7b,qwen2-7b,1.60340580736118e-06,0.00390625
decoders,quadratic,without_fell,9,0.17966255787399796,0.2140829535150815,8,1,-0.03641481446690027,0.37246703630791894,0.15556199806975785,0.20667222941661023,llama-2-7b,qwen2-7b,0.0031200791583241645,0.01171875
decoders,linear,without_fear,9,0.32321748740893946,0.3107396428686671,9,0,0.21934794890345796,0.4841869116339085,0.30309630938081833,0.33620117972212465,llama-2-7b,qwen2-7b,1.5854969154223114e-06,0.00390625
decoders,quadratic,without_fear,9,0.17940906413017046,0.21402009635496935,8,1,-0.03674244098502469,0.3720543472479122,0.15532840374045276,0.20642800226956987,llama-2-7b,qwen2-7b,0.003140569405778086,0.01171875
decoders,linear,without_felt,9,0.323944806038788,0.3113305018818606,9,0,0.2204901447447807,0.48541001655801735,0.30376165472388433,0.33687663870053886,llama-2-7b,qwen2-7b,1.5741824950547984e-06,0.00390625
decoders,quadratic,without_felt,9,0.17938703954836954,0.21363071331576367,8,1,-0.0363868686942848,0.37254500159863996,0.15524229429208575,0.20635877807870134,llama-2-7b,qwen2-7b,0.003140610416137302,0.01171875
decoders,linear,without_finished,9,0.3242300194896941,0.3117994624744096,9,0,0.220150949532521,0.4858305792696422,0.30402994951720064,0.3372399032343408,llama-2-7b,qwen2-7b,1.5919403099434837e-06,0.00390625
decoders,quadratic,without_finished,9,0.17995636556193012,0.2146760886012592,8,1,-0.037114050359498114,0.373412344546289,0.15577436818888526,0.20709016755210866,llama-2-7b,qwen2-7b,0.0031675892203568523,0.01171875
decoders,linear,without_foreign,9,0.3234914777542237,0.3106250661720021,9,0,0.22014821368272422,0.48506641433745534,0.3032946106813198,0.33640938576316115,llama-2-7b,qwen2-7b,1.5818942091645742e-06,0.00390625
decoders,quadratic,without_foreign,9,0.17951163249523902,0.21421674699166096,8,1,-0.036775449700965204,0.3723950262126449,0.1554012082805633,0.20654751776976457,llama-2-7b,qwen2-7b,0.0031472018768269414,0.01171875
decoders,linear,without_girl,9,0.32333871992198027,0.3112820945062335,9,0,0.21920846228513588,0.4845181773339037,0.30319128774548987,0.3363550021265858,llama-2-7b,qwen2-7b,1.60156440964692e-06,0.00390625
decoders,quadratic,without_girl,9,0.17968711310707167,0.21426419321841395,8,1,-0.036698789677895007,0.372651240234463,0.15556659721614774,0.2067353509551925,llama-2-7b,qwen2-7b,0.003143046343458528,0.01171875
decoders,linear,without_good,9,0.3233656864663968,0.31069525828509703,9,0,0.2202660381702519,0.48424186662629104,0.3032561639464101,0.336253142503415,llama-2-7b,qwen2-7b,1.5574840012491336e-06,0.00390625
decoders,quadratic,without_good,9,0.179441054823461,0.2140631227326199,8,1,-0.03599864964838912,0.3719439387142797,0.15537819433710867,0.20637101788244228,llama-2-7b,qwen2-7b,0.0031081559741887683,0.01171875
decoders,linear,without_hall,9,0.32306206674959786,0.31036511555601143,9,0,0.21942484302018117,0.4840734930404633,0.3029356384632397,0.33601671971577496,llama-2-7b,qwen2-7b,1.5942587685122418e-06,0.00390625
decoders,quadratic,without_hall,9,0.17919254156042683,0.2135931910503936,8,1,-0.036598649058036184,0.37184155172769184,0.1551114152895187,0.20616644038773468,llama-2-7b,qwen2-7b,0.0031480447594743285,0.01171875
decoders,linear,without_hero,9,0.3231423391831524,0.3104743630260897,9,0,0.21976336542372144,0.48439075012640453,0.30298628781524584,0.3360647109030812,llama-2-7b,qwen2-7b,1.589159609607148e-06,0.00390625
decoders,quadratic,without_hero,9,0.17940318064793312,0.2137005505719164,8,1,-0.036070660442976646,0.37202504963546157,0.15532544702449208,0.20633741078429685,llama-2-7b,qwen2-7b,0.0031078772842625035,0.01171875
decoders,linear,without_held,9,0.32308890049040095,0.31082094372359853,9,0,0.21924463923384688,0.48417175213138236,0.3029535440352783,0.3360694331474702,llama-2-7b,qwen2-7b,1.6015171540971102e-06,0.00390625
decoders,quadratic,without_held,9,0.17941263267701232,0.21392311125039104,8,1,-0.03675278788939275,0.3721179493295187,0.155324468095449,0.20643331024781295,llama-2-7b,qwen2-7b,0.0031577793822060536,0.01171875
decoders,linear,without_influence,9,0.32369819428558366,0.3110431806647213,9,0,0.22036694227365974,0.4849179651249774,0.3035457229306595,0.33661460078707417,llama-2-7b,qwen2-7b,1.5741543753109717e-06,0.00390625
decoders,quadratic,without_influence,9,0.1795401520568119,0.2142479367042191,8,1,-0.036291740795803794,0.3725664275279461,0.15541186762292009,0.20651913866338883,llama-2-7b,qwen2-7b,0.0031343858337810194,0.01171875
